seg,rgn,greenland,island,segID,rgnID
UnitedStates4095,USA,0,0,4095,138
UnitedStates4171,USA,0,0,4171,138
UnitedStates4172,USA,0,0,4172,138
UnitedStates4173,USA,0,0,4173,138
UnitedStates4174,USA,0,0,4174,138
UnitedStates4175,USA,0,0,4175,138
UnitedStates4176,USA,0,0,4176,138
UnitedStates4177,USA,0,0,4177,138
UnitedStates4178,USA,0,0,4178,138
UnitedStates4179,USA,0,0,4179,138
UnitedStates4180,USA,0,0,4180,138
UnitedStates4181,USA,0,0,4181,138
UnitedStates4182,USA,0,0,4182,138
UnitedStates4183,USA,0,0,4183,138
UnitedStates4184,USA,0,0,4184,138
UnitedStates7452,USA,0,0,7452,138
UnitedStates7453,USA,0,0,7453,138
UnitedStates7454,USA,0,0,7454,138
UnitedStates7455,USA,0,0,7455,138
UnitedStates7456,USA,0,0,7456,138
UnitedStates7461,USA,0,0,7461,138
UnitedStates7462,USA,0,0,7462,138
UnitedStates7463,USA,0,0,7463,138
UnitedStates7464,USA,0,0,7464,138
UnitedStates7465,USA,0,0,7465,138
UnitedStates7466,USA,0,0,7466,138
UnitedStates7467,USA,0,0,7467,138
UnitedStates7468,USA,0,0,7468,138
UnitedStates7469,USA,0,0,7469,138
UnitedStates7470,USA,0,0,7470,138
UnitedStates7471,USA,0,0,7471,138
UnitedStates7472,USA,0,0,7472,138
UnitedStates7473,USA,0,0,7473,138
UnitedStates7474,USA,0,0,7474,138
UnitedStates7475,USA,0,0,7475,138
UnitedStates7476,USA,0,0,7476,138
UnitedStates7477,USA,0,0,7477,138
UnitedStates7478,USA,0,0,7478,138
UnitedStates7479,USA,0,0,7479,138
UnitedStates7480,USA,0,0,7480,138
UnitedStates7481,USA,0,0,7481,138
UnitedStates7482,USA,0,0,7482,138
UnitedStates7483,USA,0,0,7483,138
UnitedStates7484,USA,0,0,7484,138
UnitedStates7485,USA,0,0,7485,138
UnitedStates7486,USA,0,0,7486,138
UnitedStates7487,USA,0,0,7487,138
UnitedStates7488,USA,0,0,7488,138
UnitedStates7489,USA,0,0,7489,138
UnitedStates7490,USA,0,0,7490,138
UnitedStates4080,USA,0,0,4080,138
UnitedStates4083,USA,0,0,4083,138
UnitedStates4084,USA,0,0,4084,138
UnitedStates4085,USA,0,0,4085,138
UnitedStates4086,USA,0,0,4086,138
UnitedStates4087,USA,0,0,4087,138
UnitedStates4088,USA,0,0,4088,138
UnitedStates4081,USA,0,0,4081,138
UnitedStates4082,USA,0,0,4082,138
UnitedStates7646,USA,0,0,7646,138
UnitedStates7650,USA,0,0,7650,138
UnitedStates4220,USA,0,0,4220,138
UnitedStates4260,USA,0,0,4260,138
UnitedStates4255,USA,0,0,4255,138
UnitedStates4256,USA,0,0,4256,138
UnitedStates4257,USA,0,0,4257,138
UnitedStates4258,USA,0,0,4258,138
UnitedStates4259,USA,0,0,4259,138
UnitedStates4261,USA,0,0,4261,138
UnitedStates4133,USA,0,0,4133,138
