name,iso3,continent,patterns_area,patterns_gdp_2000,patterns_pop_2000,patterns_gdp_2100,patterns_pop_2100,scenario,source,source_id
Cyprus,CYP,Eurasia,1.0705413818359375,1.069077491760254,1.0701318979263306,1.0706596374511719,1.0700187683105469,ssp1,BCC-CSM2-MR,1
Czech Rep.,CZE,Eurasia,1.1937854290008545,1.156545877456665,1.1726797819137573,1.1752042770385742,1.1790473461151123,ssp1,BCC-CSM2-MR,1
Germany,DEU,Eurasia,1.066243052482605,1.0706987380981445,1.065950632095337,1.0600929260253906,1.057942509651184,ssp1,BCC-CSM2-MR,1
Djibouti,DJI,Africa,1.1046838760375977,1.070685863494873,1.063807487487793,1.1355581283569336,1.1141585111618042,ssp1,BCC-CSM2-MR,1
Denmark,DNK,Eurasia,0.8112474083900452,0.8173143863677979,0.8051494359970093,0.808944046497345,0.8080278038978577,ssp1,BCC-CSM2-MR,1
Dominican Rep.,DOM,South America,0.7251346707344055,0.7246602773666382,0.7305644750595093,0.7302703261375427,0.7305744886398315,ssp1,BCC-CSM2-MR,1
Algeria,DZA,Africa,1.484616756439209,1.374841332435608,1.3766239881515503,1.3580420017242432,1.3698177337646484,ssp1,BCC-CSM2-MR,1
Ecuador,ECU,South America,1.0505636930465698,0.9610861539840698,0.9647685885429382,0.9593052268028259,0.9633506536483765,ssp1,BCC-CSM2-MR,1
Egypt,EGY,Africa,1.3225551843643188,1.2390238046646118,1.2515865564346313,1.218866229057312,1.2393978834152222,ssp1,BCC-CSM2-MR,1
Eritrea,ERI,Africa,1.2346009016036987,1.0578690767288208,1.1974601745605469,1.2444339990615845,1.2585844993591309,ssp1,BCC-CSM2-MR,1
Spain,ESP,Eurasia,1.2593913078308105,1.171529769897461,1.17069673538208,1.128117322921753,1.1635500192642212,ssp1,BCC-CSM2-MR,1
Estonia,EST,Eurasia,1.216722011566162,1.2507658004760742,1.2445381879806519,1.2637338638305664,1.2538119554519653,ssp1,BCC-CSM2-MR,1
Ethiopia,ETH,Africa,1.1101093292236328,1.1622276306152344,1.156450867652893,1.1756497621536255,1.172666311264038,ssp1,BCC-CSM2-MR,1
